辞書,文境界,キー（＝表層形）,語彙素,語彙素細分類,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),語彙素ID
現代語,I,地形,地形,,チケイ,名詞-普通名詞-一般,,,チケー,チケイ,漢,地形,チケイ,23505
現代語,I,生成,生成,,セイセイ,名詞-普通名詞-サ変可能,,,セーセー,セイセイ,漢,生成,セイセイ,19868
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,式,式,,シキ,名詞-普通名詞-一般,,,シキ,シキ,漢,式,シキ,15098
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,ない,無い,,ナイ,形容詞-非自立可能,形容詞,終止形-一般,ナイ,ナイ,和,ない,ナイ,27442
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,《,《,,,補助記号-括弧開,,,,,記号,《,,31
現代語,I,Everling,,,,名詞,,,,,,,,　
現代語,I,ノイズ,ノイズ,noise,ノイズ,名詞-普通名詞-一般,,,ノイズ,ノイズ,外,ノイズ,ノイズ,28998
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,核心,核心,,カクシン,名詞-普通名詞-一般,,,カクシン,カクシン,漢,核心,カクシン,6178
現代語,I,》,》,,,補助記号-括弧閉,,,,,記号,》,,32
現代語,B,加法,加法,,カホウ,名詞-普通名詞-一般,,,カホー,カホウ,漢,加法,カホウ,49050
現代語,I,性,性,,セイ,接尾辞-名詞的-一般,,,セー,セイ,漢,性,セイ,19682
現代語,I,＋,＋,,,補助記号-一般,,,,,記号,＋,,86240
現代語,I,中心,中心,,チュウシン,名詞-普通名詞-一般,,,チューシン,チュウシン,漢,中心,チュウシン,23828
現代語,I,極限,極限,,キョクゲン,名詞-普通名詞-一般,,,キョクゲン,キョクゲン,漢,極限,キョクゲン,9372
現代語,I,定理,定理,,テイリ,名詞-普通名詞-一般,,,テーリ,テイリ,漢,定理,テイリ,25051
現代語,I, →,→,,,補助記号-一般,,,,,記号,→,,9
現代語,I, 分布,分布,,ブンプ,名詞-普通名詞-サ変可能,,,ブンプ,ブンプ,漢,分布,ブンプ,33639
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,安定,安定,,アンテイ,名詞-普通名詞-サ変形状詞可能,,,アンテー,アンテイ,漢,安定,アンテイ,1389
現代語,I,収束,収束,,シュウソク,名詞-普通名詞-サ変可能,,,シューソク,シュウソク,漢,収束,シュウソク,16154
現代語,B,線形,線形,,センケイ,名詞-普通名詞-一般,,,センケー,センケイ,漢,線形,センケイ,20433
現代語,I,時間,時間,,ジカン,名詞-普通名詞-助数詞可能,,,ジカン,ジカン,漢,時間,ジカン,17768
現代語,I,O,Ｏ,,オー,記号-文字,,,オー,オー,記号,O,オー,5486
現代語,I,(,（,,,補助記号-括弧開,,,,,記号,(,,46
現代語,I,n,Ｎ,,エヌ,記号-文字,,,エヌ,エヌ,記号,n,エヌ,3936
現代語,I,),）,,,補助記号-括弧閉,,,,,記号,),,49
現代語,I, →,→,,,補助記号-一般,,,,,記号,→,,9
現代語,I, 高,高,,コウ,接頭辞,,,コー,コウ,漢,高,コウ,11865
現代語,I,次元,次元,,ジゲン,名詞-普通名詞-一般,,,ジゲン,ジゲン,漢,次元,ジゲン,17813
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,も,も,,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
現代語,I,スケーラブル,スケーラブル,scalable,スケーラブル,形状詞-一般,,,スケーラブル,スケーラブル,外,スケーラブル,スケーラブル,71197
現代語,B,学,学,,ガク,名詞-普通名詞-一般,,,ガク,ガク,漢,学,ガク,7997
現代語,I,蒔田,マキタ,,マキタ,名詞-固有名詞-人名-姓,,,マキタ,マキタ,固,蒔田,マキタ,35537
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,これ,此れ,,コレ,代名詞,,,コレ,コレ,和,これ,コレ,13095
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,地形,地形,,チケイ,名詞-普通名詞-一般,,,チケー,チケイ,漢,地形,チケイ,23505
現代語,I,生成,生成,,セイセイ,名詞-普通名詞-サ変可能,,,セーセー,セイセイ,漢,生成,セイセイ,19868
現代語,I,だけ,だけ,,ダケ,助詞-副助詞,,,ダケ,ダケ,和,だけ,ダケ,23122
現代語,I,じゃ,で,,デ,助詞-格助詞,,,ジャ,ジャ,和,じゃ,ジャ,25518
現代語,I,もったい,勿体,,モッタイ,名詞-普通名詞-一般,,,モッタイ,モッタイ,漢,もったい,モッタイ,37795
現代語,I,ない,無い,,ナイ,形容詞-非自立可能,形容詞,終止形-一般,ナイ,ナイ,和,ない,ナイ,27442
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,思わ,思う,,オモウ,動詞-一般,五段-ワア行,未然形-一般,オモワ,オモワ,和,思う,オモウ,5255
現代語,I,ない,ない,,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,例えば,例えば,,タトエバ,副詞,,,タトエバ,タトエバ,和,例えば,タトエバ,22512
現代語,I,さ,さ,,サ,助詞-終助詞,,,サ,サ,和,さ,サ,13620
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,彼,彼,,カレ,代名詞,,,カレ,カレ,和,彼,カレ,7330
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,口,口,,クチ,名詞-普通名詞-一般,,,クチ,クチ,和,口,クチ,10196
現代語,I,から,から,,カラ,助詞-格助詞,,,カラ,カラ,和,から,カラ,7219
現代語,I,次,次,,ツギ,名詞-普通名詞-一般,,,ツギ,ツギ,和,次,ツギ,24527
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,出,出る,,デル,動詞-一般,下一段-ダ行,連用形-一般,デ,デ,和,出る,デル,25728
現代語,I,た,た,,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ,21642
現代語,I,言葉,言葉,,コトバ,名詞-普通名詞-一般,,,コトバ,コトバ,和,言葉,コトバ,12860
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,私,私,,ワタシ,代名詞,,,ワタシ,ワタシ,和,私,ワタシ,41277
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,息,息,,イキ,名詞-普通名詞-一般,,,イキ,イキ,和,息,イキ,1649
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,呑ん,飲む,,ノム,動詞-一般,五段-マ行,連用形-撥音便,ノン,ノン,和,呑む,ノム,29226
現代語,I,だ,た,,タ,助動詞,助動詞-タ,終止形-一般,ダ,ダ,和,だ,ダ,21642
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,L,Ｌ,,エル,記号-文字,,,エル,エル,記号,L,エル,4109
現代語,I,L,Ｌ,,エル,記号-文字,,,エル,エル,記号,L,エル,4109
現代語,I,M,Ｍ,,エム,記号-文字,,,エム,エム,記号,M,エム,4042
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,トークン,トークン,token,トークン,名詞-普通名詞-一般,,,トークン,トークン,外,トークン,トークン,119590
現代語,I,生成,生成,,セイセイ,名詞-普通名詞-サ変可能,,,セーセー,セイセイ,漢,生成,セイセイ,19868
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,応用,応用,,オウヨウ,名詞-普通名詞-サ変可能,,,オーヨー,オウヨウ,漢,応用,オウヨウ,4497
現代語,I,でき,出来る,,デキル,動詞-非自立可能,上一段-カ行,未然形-一般,デキ,デキ,和,できる,デキル,25624
現代語,I,ない,ない,,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
現代語,I,か,か,,カ,助詞-終助詞,,,カ,カ,和,か,カ,5569
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,学,学,,ガク,名詞-普通名詞-一般,,,ガク,ガク,漢,学,ガク,7997
現代語,I,蒔田,マキタ,,マキタ,名詞-固有名詞-人名-姓,,,マキタ,マキタ,固,蒔田,マキタ,35537
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,今,今,,イマ,名詞-普通名詞-副詞可能,,,イマ,イマ,和,今,イマ,2460
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,言語,言語,,ゲンゴ,名詞-普通名詞-一般,,,ゲンゴ,ゲンゴ,漢,言語,ゲンゴ,11660
現代語,I,モデル,モデル,model,モデル,名詞-普通名詞-一般,,,モデル,モデル,外,モデル,モデル,37817
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,離散,離散,,リサン,名詞-普通名詞-サ変可能,,,リサン,リサン,漢,離散,リサン,39963
現代語,I,トークン,トークン,token,トークン,名詞-普通名詞-一般,,,トークン,トークン,外,トークン,トークン,119590
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,確率,確率,,カクリツ,名詞-普通名詞-一般,,,カクリツ,カクリツ,漢,確率,カクリツ,6241
現代語,I,的,的,,テキ,接尾辞-形状詞的,,,テキ,テキ,漢,的,テキ,25076
現代語,I,に,だ,,ダ,助動詞,助動詞-ダ,連用形-ニ,ニ,ニ,和,だ,ダ,22916
現代語,I,つなげ,繋げる,,ツナゲル,動詞-一般,下一段-ガ行,連用形-一般,ツナゲ,ツナゲ,和,つなげる,ツナゲル,24678
現代語,I,てる,てる,,テル,助動詞,下一段-タ行,連体形-一般,テル,テル,和,てる,テル,25287
現代語,I,だけ,だけ,,ダケ,助詞-副助詞,,,ダケ,ダケ,和,だけ,ダケ,23122
現代語,I,だろ,だ,,ダ,助動詞,助動詞-ダ,意志推量形,ダロ,ダロ,和,だ,ダ,22916
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,も,も,,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,Everling,,,,名詞,,,,,,,,　
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,考え,考える,,カンガエル,動詞-一般,下一段-ア行,連用形-一般,カンガエ,カンガエ,和,考える,カンガエル,7514
現代語,I,方,方,,カタ,接尾辞-名詞的-一般,,,カタ,カタ,和,方,カタ,6596
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,使え,使う,,ツカウ,動詞-一般,五段-ワア行,仮定形-一般,ツカエ,ツカエ,和,使う,ツカウ,24457
現代語,I,ば,ば,,バ,助詞-接続助詞,,,バ,バ,和,ば,バ,30503
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,潜在,潜在,,センザイ,名詞-普通名詞-サ変可能,,,センザイ,センザイ,漢,潜在,センザイ,20472
現代語,I,空間,空間,,クウカン,名詞-普通名詞-一般,,,クーカン,クウカン,漢,空間,クウカン,10026
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,連続,連続,,レンゾク,名詞-普通名詞-サ変形状詞可能,,,レンゾク,レンゾク,漢,連続,レンゾク,40794
現代語,I,的,的,,テキ,接尾辞-形状詞的,,,テキ,テキ,漢,的,テキ,25076
現代語,I,な,だ,,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ,22916
現代語,I,『,『,,,補助記号-括弧開,,,,,記号,『,,35
現代語,I,意味,意味,,イミ,名詞-普通名詞-サ変可能,,,イミ,イミ,漢,意味,イミ,2492
現代語,I,場,場,,ジョウ,接尾辞-名詞的-一般,,,ジョー,ジョウ,漢,場,ジョウ,18473
現代語,I,』,』,,,補助記号-括弧閉,,,,,記号,』,,36
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,し,為る,,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,扱える,扱う,,アツカウ,動詞-一般,下一段-ア行,終止形-一般,アツカエル,アツカエル,和,扱える,アツカエル,813
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,単語,単語,,タンゴ,名詞-普通名詞-一般,,,タンゴ,タンゴ,漢,単語,タンゴ,22806
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,単語,単語,,タンゴ,名詞-普通名詞-一般,,,タンゴ,タンゴ,漢,単語,タンゴ,22806
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,『,『,,,補助記号-括弧開,,,,,記号,『,,35
現代語,I,間,間,,マ,名詞-普通名詞-助数詞可能,,,マ,マ,和,間,マ,35375
現代語,I,』,』,,,補助記号-括弧閉,,,,,記号,』,,36
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,グラデーション,グラデーション,gradation,グラデーション,名詞-普通名詞-一般,,,グラデーション,グラデーション,外,グラデーション,グラデーション,93706
現代語,I,も,も,,モ,助詞-係助詞,,,モ,モ,和,も,モ,37562
現代語,I,生成,生成,,セイセイ,名詞-普通名詞-サ変可能,,,セーセー,セイセイ,漢,生成,セイセイ,19868
現代語,I,できる,出来る,,デキル,動詞-非自立可能,上一段-カ行,終止形-一般,デキル,デキル,和,できる,デキル,25624
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,O,Ｏ,,オー,記号-文字,,,オー,オー,記号,O,オー,5486
現代語,I,(,（,,,補助記号-括弧開,,,,,記号,(,,46
現代語,I,d,Ｄ,,ディー,記号-文字,,,ディー,ディー,記号,d,ディー,25577
現代語,I,),）,,,補助記号-括弧閉,,,,,記号,),,49
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,線形,線形,,センケイ,名詞-普通名詞-一般,,,センケー,センケイ,漢,線形,センケイ,20433
現代語,I,計算,計算,,ケイサン,名詞-普通名詞-サ変可能,,,ケーサン,ケイサン,漢,計算,ケイサン,10944
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,ね,ね,,ネ,助詞-終助詞,,,ネ,ネ,和,ね,ネ,28754
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,Attention,,,,名詞,,,,,,,,　
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,O,Ｏ,,オー,記号-文字,,,オー,オー,記号,O,オー,5486
現代語,I,(,（,,,補助記号-括弧開,,,,,記号,(,,46
現代語,I,n,Ｎ,,エヌ,記号-文字,,,エヌ,エヌ,記号,n,エヌ,3936
現代語,I,²,²,,,補助記号-一般,,,,,記号,²,,86386
現代語,I,),）,,,補助記号-括弧閉,,,,,記号,),,49
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,比べ,比べる,,クラベル,動詞-一般,下一段-バ行,連用形-一般,クラベ,クラベ,和,比べる,クラベル,10455
現代語,I,たら,た,,タ,助動詞,助動詞-タ,仮定形-一般,タラ,タラ,和,た,タ,21642
現代語,I,革命,革命,,カクメイ,名詞-普通名詞-一般,,,カクメー,カクメイ,漢,革命,カクメイ,6235
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,思わ,思う,,オモウ,動詞-一般,五段-ワア行,未然形-一般,オモワ,オモワ,和,思う,オモウ,5255
現代語,I,ない,ない,,ナイ,助動詞,助動詞-ナイ,終止形-一般,ナイ,ナイ,和,ない,ナイ,27438
現代語,I,？,？,,,補助記号-句点,,,,,記号,？,,57
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,B,その,其の,,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ,21394
現代語,I,瞬間,瞬間,,シュンカン,名詞-普通名詞-副詞可能,,,シュンカン,シュンカン,漢,瞬間,シュンカン,16481
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,私,私,,ワタシ,代名詞,,,ワタシ,ワタシ,和,私,ワタシ,41277
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,脳内,脳内,,ノウナイ,名詞-普通名詞-一般,,,ノーナイ,ノウナイ,漢,脳内,ノウナイ,29055
現代語,I,で,で,,デ,助詞-格助詞,,,デ,デ,和,で,デ,25518
現代語,I,何,何,,ナニ,代名詞,,,ナニ,ナニ,和,何,ナニ,27920
現代語,I,か,か,,カ,助詞-副助詞,,,カ,カ,和,か,カ,5568
現代語,I,が,が,,ガ,助詞-格助詞,,,ガ,ガ,和,が,ガ,7889
現代語,I,破裂,破裂,,ハレツ,名詞-普通名詞-サ変可能,,,ハレツ,ハレツ,漢,破裂,ハレツ,30293
現代語,I,し,為る,,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,今,今,,イマ,名詞-普通名詞-副詞可能,,,イマ,イマ,和,今,イマ,2460
現代語,I,まで,まで,,マデ,助詞-副助詞,,,マデ,マデ,和,まで,マデ,35891
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,私,私,,ワタシ,代名詞,,,ワタシ,ワタシ,和,私,ワタシ,41277
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,この,此の,,コノ,連体詞,,,コノ,コノ,和,この,コノ,12905
現代語,I,論文,論文,,ロンブン,名詞-普通名詞-一般,,,ロンブン,ロンブン,漢,論文,ロンブン,41068
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,「,「,,,補助記号-括弧開,,,,,記号,「,,33
現代語,I,どう,どう,,ドウ,副詞,,,ドー,ドウ,和,どう,ドウ,26969
現代語,I,実装,実装,,ジッソウ,名詞-普通名詞-サ変可能,,,ジッソー,ジッソウ,漢,実装,ジッソウ,17953
現代語,I,する,為る,,スル,動詞-非自立可能,サ行変格,終止形-一般,スル,スル,和,する,スル,19537
現代語,I,か,か,,カ,助詞-終助詞,,,カ,カ,和,か,カ,5569
現代語,I,」,」,,,補助記号-括弧閉,,,,,記号,」,,34
現代語,I,しか,しか,,シカ,助詞-副助詞,,,シカ,シカ,和,しか,シカ,15047
現代語,I,考え,考える,,カンガエル,動詞-一般,下一段-ア行,連用形-一般,カンガエ,カンガエ,和,考える,カンガエル,7514
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,い,居る,,イル,動詞-非自立可能,上一段-ア行,未然形-一般,イ,イ,和,いる,イル,2585
現代語,I,なかっ,ない,,ナイ,助動詞,助動詞-ナイ,連用形-促音便,ナカッ,ナカッ,和,ない,ナイ,27438
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,G,Ｇ,,ジー,記号-文字,,,ジー,ジー,記号,G,ジー,18833
現代語,I,P,Ｐ,,ピー,記号-文字,,,ピー,ピー,記号,P,ピー,32239
現代語,I,U,Ｕ,,ユー,記号-文字,,,ユー,ユー,記号,U,ユー,38951
現代語,I,最適,最適,,サイテキ,形状詞-一般,,,サイテキ,サイテキ,漢,最適,サイテキ,13780
現代語,I,化,化,,カ,接尾辞-名詞的-サ変可能,,,カ,カ,漢,化,カ,5577
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,メモリ,メモリー,memory,メモリー,名詞-普通名詞-一般,,,メモリ,メモリ,外,メモリ,メモリ,37479
現代語,I,レイアウト,レイアウト,layout,レイアウト,名詞-普通名詞-サ変可能,,,レーアウト,レイアウト,外,レイアウト,レイアウト,40565
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,並列,並列,,ヘイレツ,名詞-普通名詞-サ変可能,,,ヘーレツ,ヘイレツ,漢,並列,ヘイレツ,33923
現代語,I,化,化,,カ,接尾辞-名詞的-サ変可能,,,カ,カ,漢,化,カ,5577
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,—,—,,,補助記号-一般,,,,,記号,—,,86206
現代語,I,技術,技術,,ギジュツ,名詞-普通名詞-一般,,,ギジュツ,ギジュツ,漢,技術,ギジュツ,9798
現代語,I,者,者,,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,当然,当然,,トウゼン,形状詞-一般,,,トーゼン,トウゼン,漢,当然,トウゼン,26041
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,思考,思考,,シコウ,名詞-普通名詞-サ変可能,,,シコー,シコウ,漢,思考,シコウ,15229
現代語,I,だ,だ,,ダ,助動詞,助動詞-ダ,終止形-一般,ダ,ダ,和,だ,ダ,22916
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,しかし,然し,,シカシ,接続詞,,,シカシ,シカシ,和,しかし,シカシ,15066
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,学,学,,ガク,名詞-普通名詞-一般,,,ガク,ガク,漢,学,ガク,7997
現代語,I,蒔田,マキタ,,マキタ,名詞-固有名詞-人名-姓,,,マキタ,マキタ,固,蒔田,マキタ,35537
現代語,I,は,は,,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ,29321
現代語,I,違っ,違う,,チガウ,動詞-一般,五段-ワア行,連用形-促音便,チガッ,チガッ,和,違う,チガウ,23451
現代語,I,た,た,,タ,助動詞,助動詞-タ,終止形-一般,タ,タ,和,た,タ,21642
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,I,アルゴリズム,アルゴリズム,algorithm,アルゴリズム,名詞-普通名詞-一般,,,アルゴリズム,アルゴリズム,外,アルゴリズム,アルゴリズム,1226
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,数学,数学,,スウガク,名詞-普通名詞-一般,,,スーガク,スウガク,漢,数学,スウガク,18999
現代語,I,的,的,,テキ,接尾辞-形状詞的,,,テキ,テキ,漢,的,テキ,25076
現代語,I,構造,構造,,コウゾウ,名詞-普通名詞-一般,,,コーゾー,コウゾウ,漢,構造,コウゾウ,12199
現代語,I,その,其の,,ソノ,連体詞,,,ソノ,ソノ,和,その,ソノ,21394
現代語,I,もの,物,,モノ,名詞-普通名詞-サ変可能,,,モノ,モノ,和,もの,モノ,37875
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,抽出,抽出,,チュウシュツ,名詞-普通名詞-サ変可能,,,チューシュツ,チュウシュツ,漢,抽出,チュウシュツ,23821
現代語,I,し,為る,,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル,19537
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,まったく,全く,,マッタク,副詞,,,マッタク,マッタク,和,まったく,マッタク,35816
現代語,I,別,別,,ベツ,名詞-普通名詞-形状詞可能,,,ベツ,ベツ,漢,別,ベツ,34183
現代語,I,の,の,,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ,28989
現代語,I,宇宙,宇宙,,ウチュウ,名詞-普通名詞-一般,,,ウチュー,ウチュウ,漢,宇宙,ウチュウ,3249
現代語,I,（,（,,,補助記号-括弧開,,,,,記号,（,,46
現代語,I,言語,言語,,ゲンゴ,名詞-普通名詞-一般,,,ゲンゴ,ゲンゴ,漢,言語,ゲンゴ,11660
現代語,I,生成,生成,,セイセイ,名詞-普通名詞-サ変可能,,,セーセー,セイセイ,漢,生成,セイセイ,19868
現代語,I,）,）,,,補助記号-括弧閉,,,,,記号,）,,49
現代語,I,に,に,,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ,28178
現代語,I,移植,移植,,イショク,名詞-普通名詞-サ変可能,,,イショク,イショク,漢,移植,イショク,1880
現代語,I,する,為る,,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル,19537
現代語,I,こと,事,,コト,名詞-普通名詞-一般,,,コト,コト,和,こと,コト,12836
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,考え,考える,,カンガエル,動詞-一般,下一段-ア行,連用形-一般,カンガエ,カンガエ,和,考える,カンガエル,7514
現代語,I,て,て,,テ,助詞-接続助詞,,,テ,テ,和,て,テ,24874
現代語,I,いる,居る,,イル,動詞-非自立可能,上一段-ア行,終止形-一般,イル,イル,和,いる,イル,2585
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,実装,実装,,ジッソウ,名詞-普通名詞-サ変可能,,,ジッソー,ジッソウ,漢,実装,ジッソウ,17953
現代語,I,者,者,,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,創造,創造,,ソウゾウ,名詞-普通名詞-サ変可能,,,ソーゾー,ソウゾウ,漢,創造,ソウゾウ,21097
現代語,I,者,者,,シャ,接尾辞-名詞的-一般,,,シャ,シャ,漢,者,シャ,15852
現代語,I,。,。,,,補助記号-句点,,,,,記号,。,,25
現代語,B,コード,コード,code,コード,名詞-普通名詞-一般,,,コード,コード,外,コード,コード,13308
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,書く,書く,,カク,動詞-一般,五段-カ行,連体形-一般,カク,カク,和,書く,カク,6124
現代語,I,者,者,,モノ,名詞-普通名詞-一般,,,モノ,モノ,和,者,モノ,37877
現代語,I,と,と,,ト,助詞-格助詞,,,ト,ト,和,と,ト,25826
現代語,I,、,、,,,補助記号-読点,,,,,記号,、,,24
現代語,I,パラダイム,パラダイム,paradigm,パラダイム,名詞-普通名詞-一般,,,パラダイム,パラダイム,外,パラダイム,パラダイム,31009
現代語,I,を,を,,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ,41407
現代語,I,変える,変える,,カエル,動詞-一般,下一段-ア行,連体形-一般,カエル,カエル,和,変える,カエル,5977
